dataset,model,metric,metric_display,mean,std,n,cell,source_file
APAVA,CBraMod,f1_macro,F1 Score (Macro),0.6407128231413678,0.19020439973098952,5,0.6407 ± 0.1902,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,f1_macro,F1 Score (Macro),0.47944014699602555,0.17051244019767772,5,0.4794 ± 0.1705,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,f1_macro,F1 Score (Macro),0.46795424980656125,0.15635921887240392,5,0.4680 ± 0.1564,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,f1_macro,F1 Score (Macro),0.4885239989380102,0.14334657703655362,5,0.4885 ± 0.1433,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
APAVA,EEGNet,precision_macro,Precision (Macro),0.5297466812082333,0.14361112667777992,5,0.5297 ± 0.1436,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,precision_macro,Precision (Macro),0.6172720372768731,0.15267975542603426,5,0.6173 ± 0.1527,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,precision_macro,Precision (Macro),0.5317677217252692,0.12541127324910303,5,0.5318 ± 0.1254,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,precision_macro,Precision (Macro),0.5620035466001676,0.17622452072323513,5,0.5620 ± 0.1762,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,precision_macro,Precision (Macro),0.5243697544268027,0.1207882293659476,5,0.5244 ± 0.1208,./results/bimtta_APAVA_fold0-5_seed2025.pkl
APAVA,CBraMod,precision_macro,Precision (Macro),0.6750395925517818,0.1381096594800868,5,0.6750 ± 0.1381,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,precision_macro,Precision (Macro),0.6161716517051442,0.09262898223668525,5,0.6162 ± 0.0926,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,precision_macro,Precision (Macro),0.5586257496841861,0.10299236184133816,5,0.5586 ± 0.1030,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,precision_macro,Precision (Macro),0.6062844389125888,0.11325078714057557,5,0.6063 ± 0.1133,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
APAVA,EEGNet,recall_macro,Recall (Macro),0.45680233291802635,0.20032029167343757,5,0.4568 ± 0.2003,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,recall_macro,Recall (Macro),0.5507559569492756,0.15123188968422333,5,0.5508 ± 0.1512,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,recall_macro,Recall (Macro),0.5188717856929647,0.14329739433463384,5,0.5189 ± 0.1433,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,recall_macro,Recall (Macro),0.49490912794020653,0.21228814992552678,5,0.4949 ± 0.2123,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,recall_macro,Recall (Macro),0.461268889401303,0.09241812069023565,5,0.4613 ± 0.0924,./results/bimtta_APAVA_fold0-5_seed2025.pkl
APAVA,CBraMod,recall_macro,Recall (Macro),0.6408922493006797,0.2239786663667518,5,0.6409 ± 0.2240,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,recall_macro,Recall (Macro),0.5730424289214051,0.13683089038900584,5,0.5730 ± 0.1368,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,recall_macro,Recall (Macro),0.5291900439597779,0.14680209387111787,5,0.5292 ± 0.1468,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,recall_macro,Recall (Macro),0.5699752484204262,0.1418874775465363,5,0.5700 ± 0.1419,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
APAVA,EEGNet,roc_auc,ROC AUC,0.428005615702242,0.30801233300179015,5,0.4280 ± 0.3080,./results/eegnet_APAVA_seed2025.pkl
APAVA,GraphSleepNet,roc_auc,ROC AUC,0.5638527698630424,0.34060117517366223,5,0.5639 ± 0.3406,./results/graphsleepnet_APAVA_seed2025.pkl
APAVA,SalientSleepNet,roc_auc,ROC AUC,0.5908965670201323,0.3151932079498915,5,0.5909 ± 0.3152,./results/salientsleepnet_APAVA_seed2025.pkl
APAVA,MMCNN,roc_auc,ROC AUC,0.4442819937510185,0.3068176184589872,5,0.4443 ± 0.3068,./results/mmcnn_APAVA_seed2025.pkl
APAVA,BiM-TTA,roc_auc,ROC AUC,0.3692728131631676,0.1918202833019949,5,0.3693 ± 0.1918,./results/bimtta_APAVA_fold0-5_seed2025.pkl
APAVA,CBraMod,roc_auc,ROC AUC,0.6268566866927368,0.3397734735664865,5,0.6269 ± 0.3398,./results_cbramod/cbramod_APAVA_full_seed2025.pkl
APAVA,MOMENT-linear,roc_auc,ROC AUC,0.7690632850664687,0.12773632701760065,4,0.7691 ± 0.1277,./results_moment_internal_parallel/APAVA/linear/moment_linear_APAVA_merged.pkl
APAVA,MOMENT-full,roc_auc,ROC AUC,0.630473066052503,0.17526550362521068,4,0.6305 ± 0.1753,./results_moment_internal_parallel/APAVA/full/moment_full_APAVA_merged.pkl
APAVA,MOMENT-LoRA,roc_auc,ROC AUC,0.69190090981215,0.16700431746045588,4,0.6919 ± 0.1670,./results_moment_internal_parallel/APAVA/lora/moment_lora_APAVA_merged.pkl
Sleep-EDF,EEGNet,accuracy,Accuracy,0.725350840919038,0.09438790351104971,20,0.7254 ± 0.0944,./results/eegnet_SleepEDF_seed2025.pkl
Sleep-EDF,GraphSleepNet,accuracy,Accuracy,0.7226864307658495,0.0827464283309643,20,0.7227 ± 0.0827,./results/graphsleepnet_SleepEDF_seed2025.pkl
